Room_ID,DayType,Occupancy,Ventilation_Status,CO2,PM2.5,Humidity,Temperature,AQ_Label
1,0,1,1,476.719,20.0,50.0,24.0,0
1,0,1,1,474.097,20.0,50.0,24.0,0
1,0,1,1,474.589,20.0,50.0,24.0,0
1,0,1,1,474.392,20.0,50.0,24.0,0
1,0,1,1,468.714,20.0,50.0,24.0,0
1,0,1,1,467.968,20.0,50.0,24.0,0
1,0,1,1,479.698,20.0,50.0,24.0,0
1,0,1,1,484.275,20.0,50.0,24.0,0
1,0,1,1,485.915,20.0,50.0,24.0,0
1,0,1,1,484.505,20.0,50.0,24.0,0
1,0,1,1,488.93,20.0,50.0,24.0,0
1,0,1,1,481.07,20.0,50.0,24.0,0
1,0,1,1,468.142,20.0,50.0,24.0,0
1,0,1,1,463.35,20.0,50.0,24.0,0
1,0,1,1,464.383,20.0,50.0,24.0,0
1,0,1,1,464.744,20.0,50.0,24.0,0
1,0,1,1,465.66,20.0,50.0,24.0,0
1,0,1,1,460.384,20.0,50.0,24.0,0
1,0,1,1,458.085,20.0,50.0,24.0,0
1,0,1,1,459.809,20.0,50.0,24.0,0
1,0,1,1,461.322,20.0,50.0,24.0,0
1,0,1,1,467.737,20.0,50.0,24.0,0
1,0,1,1,463.882,20.0,50.0,24.0,0
1,0,1,1,484.4,20.0,50.0,24.0,0
1,0,1,1,518.577,20.0,50.0,24.0,0
1,0,1,1,523.307,20.0,50.0,24.0,0
1,0,1,1,520.434,20.0,50.0,24.0,0
1,0,1,1,523.413,20.0,50.0,24.0,0
1,0,1,1,512.337,20.0,50.0,24.0,0
1,0,1,1,513.625,20.0,50.0,24.0,0
1,0,1,1,540.882,20.0,50.0,24.0,0
1,0,1,1,527.716,20.0,50.0,24.0,0
1,0,1,1,554.298,20.0,50.0,24.0,0
1,0,1,1,535.497,20.0,50.0,24.0,0
1,0,1,1,523.539,20.0,50.0,24.0,0
1,0,1,1,508.713,20.0,50.0,24.0,0
1,0,1,1,526.56,20.0,50.0,24.0,0
1,0,1,1,532.828,20.0,50.0,24.0,0
1,0,1,1,521.311,20.0,50.0,24.0,0
1,0,1,1,505.508,20.0,50.0,24.0,0
1,0,1,1,512.113,20.0,50.0,24.0,0
1,0,1,1,514.668,20.0,50.0,24.0,0
1,0,1,1,515.812,20.0,50.0,24.0,0
1,0,1,1,524.34,20.0,50.0,24.0,0
1,0,1,1,513.652,20.0,50.0,24.0,0
1,0,1,1,516.588,20.0,50.0,24.0,0
1,0,1,1,519.143,20.0,50.0,24.0,0
1,0,1,1,521.804,20.0,50.0,24.0,0
1,0,1,1,520.384,20.0,50.0,24.0,0
1,0,1,1,519.496,20.0,50.0,24.0,0
1,0,1,1,525.829,20.0,50.0,24.0,0
1,0,1,1,516.202,20.0,50.0,24.0,0
1,0,1,1,512.558,20.0,50.0,24.0,0
1,0,1,1,507.249,20.0,50.0,24.0,0
1,0,1,1,504.521,20.0,50.0,24.0,0
1,0,1,1,503.04,20.0,50.0,24.0,0
1,0,1,1,500.102,20.0,50.0,24.0,0
1,0,1,1,499.53,20.0,50.0,24.0,0
1,0,1,1,492.622,20.0,50.0,24.0,0
1,0,1,1,488.159,20.0,50.0,24.0,0
1,0,1,1,491.667,20.0,50.0,24.0,0
1,0,1,1,497.754,20.0,50.0,24.0,0
1,0,1,1,498.1,20.0,50.0,24.0,0
1,0,1,1,491.324,20.0,50.0,24.0,0
1,0,1,1,493.333,20.0,50.0,24.0,0
1,0,1,1,498.045,20.0,50.0,24.0,0
1,0,1,1,507.9,20.0,50.0,24.0,0
1,0,1,1,492.835,20.0,50.0,24.0,0
1,0,1,1,488.412,20.0,50.0,24.0,0
1,0,1,1,486.526,20.0,50.0,24.0,0
1,0,1,1,493.107,20.0,50.0,24.0,0
1,0,1,1,493.826,20.0,50.0,24.0,0
1,0,1,1,497.688,20.0,50.0,24.0,0
1,0,1,1,483.627,20.0,50.0,24.0,0
1,0,1,1,479.999,20.0,50.0,24.0,0
1,0,1,1,477.749,20.0,50.0,24.0,0
1,0,1,1,482.174,20.0,50.0,24.0,0
1,0,1,1,466.996,20.0,50.0,24.0,0
1,0,1,1,462.656,20.0,50.0,24.0,0
1,0,1,1,495.749,20.0,50.0,24.0,0
1,0,1,1,478.487,20.0,50.0,24.0,0
1,0,1,1,479.264,20.0,50.0,24.0,0
1,0,1,1,475.682,20.0,50.0,24.0,0
1,0,1,1,473.76,20.0,50.0,24.0,0
1,0,1,1,480.205,20.0,50.0,24.0,0
1,0,1,1,483.413,20.0,50.0,24.0,0
1,0,1,1,488.585,20.0,50.0,24.0,0
1,0,1,1,487.66,20.0,50.0,24.0,0
1,0,1,1,500.252,20.0,50.0,24.0,0
1,0,1,1,492.104,20.0,50.0,24.0,0
1,0,1,1,485.519,20.0,50.0,24.0,0
1,0,1,1,479.836,20.0,50.0,24.0,0
1,0,1,1,480.226,20.0,50.0,24.0,0
1,0,1,1,486.228,20.0,50.0,24.0,0
1,0,1,1,500.909,20.0,50.0,24.0,0
1,0,1,1,482.576,20.0,50.0,24.0,0
1,0,1,1,474.79,20.0,50.0,24.0,0
1,0,1,1,478.122,20.0,50.0,24.0,0
1,0,1,1,480.936,20.0,50.0,24.0,0
1,0,1,1,484.748,20.0,50.0,24.0,0
1,0,1,1,492.393,20.0,50.0,24.0,0
1,0,1,1,490.256,20.0,50.0,24.0,0
1,0,1,1,486.448,20.0,50.0,24.0,0
1,0,1,1,478.944,20.0,50.0,24.0,0
1,0,1,1,471.549,20.0,50.0,24.0,0
1,0,1,1,477.608,20.0,50.0,24.0,0
1,0,1,1,484.015,20.0,50.0,24.0,0
1,0,1,1,492.936,20.0,50.0,24.0,0
1,0,1,1,500.645,20.0,50.0,24.0,0
1,0,1,1,490.565,20.0,50.0,24.0,0
1,0,1,1,483.485,20.0,50.0,24.0,0
1,0,1,1,485.98,20.0,50.0,24.0,0
1,0,1,1,491.579,20.0,50.0,24.0,0
1,0,1,1,471.009,20.0,50.0,24.0,0
1,0,1,1,483.362,20.0,50.0,24.0,0
1,0,1,1,477.337,20.0,50.0,24.0,0
1,0,1,1,515.94,20.0,50.0,24.0,0
1,0,1,1,502.669,20.0,50.0,24.0,0
1,0,1,1,471.156,20.0,50.0,24.0,0
1,0,1,1,469.509,20.0,50.0,24.0,0
1,0,1,1,461.429,20.0,50.0,24.0,0
1,0,1,1,473.59,20.0,50.0,24.0,0
1,0,1,1,480.86,20.0,50.0,24.0,0
1,0,1,1,479.999,20.0,50.0,24.0,0
1,0,1,1,481.702,20.0,50.0,24.0,0
1,0,1,1,498.874,20.0,50.0,24.0,0
1,0,1,1,511.376,20.0,50.0,24.0,0
1,0,1,1,489.015,20.0,50.0,24.0,0
1,0,1,1,476.162,20.0,50.0,24.0,0
1,0,1,1,488.961,20.0,50.0,24.0,0
1,0,1,1,493.075,20.0,50.0,24.0,0
1,0,1,1,490.558,20.0,50.0,24.0,0
1,0,1,1,491.749,20.0,50.0,24.0,0
1,0,1,1,491.817,20.0,50.0,24.0,0
1,0,1,1,485.906,20.0,50.0,24.0,0
1,0,1,1,494.898,20.0,50.0,24.0,0
